"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"ACTORS","None","In 1970 he became the first professional actor to be named a lord","Laurence Olivier"
"BRITISH NOVELISTS","None","In his journals he described how he once set 2 groups of boys against each other, likely inspiring his 1954 novel","(William) Golding"
"CHILDREN'S LIT","None","This title character's full name is Oscar Zoroaster Phadrig Isaac Norman Henkle Emmannuel Ambroise Diggs","the Wizard of Oz"
"CLASSIC TELEVISION","None","It was the first TV series to win the Hugo Award for best dramatic presentation","The Twilight Zone"
"EUROPEAN LITERATURE","None","An 1870 novel by this man mentions Moby Dick as well as a sea monster called a Kraken","Jules Verne"
"THE POST OFFICE","None","Due to demand Bugs Bunny's U.S. commemorative stamp was the first to have a second printing since this one","The Elvis Presley stamp"
"THE COMPUTER AGE","None","This term still had "work" on the end when Vinton Cerf & Robert Kahn, 2 of its creators, used it in a key 1974 paper","the Internet"
"COMMUNICATION","None","A government website says it's "a complete, complex language... said to be the 4th most commonly used" in the U.S.","American Sign Language"
"MODERN U.S. HISTORY","None","This group consisted of the Chief Justice, 4 members of Congress, & ex-heads of the CIA & the World Bank","The Warren Commission"
"OPERA","None","The title character of this opera addresses his son in the aria "Sois immobile" ("hold yourself still")","William Tell"
"U.S. GOVERNMENT FIRSTS","None","The first of these was authorized in 1790, "providing for the enumeration of the inhabitants of the United States"","a census"
"FAMOUS STRUCTURES","None","In 1930 the Chrysler Building surpassed this foreign structure by over 60 feet to become the world's tallest","the Eiffel Tower"
"EPITAPHS","None","They're the 3 words found at the top of Mel Blanc's gravestone","\"That's All Folks\""
"ARTISTS","None","He was born in 1577 on the eve of the feast day of two apostles","Peter Paul Rubens"
"AMERICAN DESIGN","None","A Phillips 66 in Cloquet, Minnesota is the only functioning gas station designed by this man","Frank Lloyd Wright"
"BROADCASTING FIRSTS","None","In 2005, at New Mexico State, Cuyler Frank made history by being the first to call a football game in this language","Navajo"
"BUSINESS HISTORY","None","Last names of the 2 men, both engineers, who met & formed a partnership at England's Midland Hotel in May 1904","Rolls and Royce"
"THE MOVIES","None","The only film role Jimmy Cagney played twice; the 2nd time was in "The 7 Little Foys"","George M. Cohan"
"LITERARY LINES","None",""You have no right to expect me to send you back to Kansas" appears in a 1900 novel & in an epigraph to this 1995 novel","Wicked"
"WORLD LEADERS","None","In 1946 she said, "We only want that which is given naturally to all peoples... to be masters of our own fate"","Golda Meir"
"FOOD LORE","None","In food lore, the design of this treat symbolizes arms folded in prayer & the 3 holes stand for the Trinity","the pretzel"
"U.S. COMMERCE","None","Huntington, considered the USA's busiest inland port & largely shipping coal, is on this river","the Ohio River"
"20th CENTURY ARTISTS","None","In 1912 he began creating abstact sculptures of Maiastra, a bird in Romanian legends","Constantin Brancusi"
"U.S. HISTORY","None","Frank Harris' 1908 novel "The Bomb" deals with this 1886 U.S. incident","the Haymarket Riot"
"1998","None","Bruce Jenner, Gail Devers & Willie Gault attended this woman's September 26, 1998 funeral","Florence Griffith-Joyner"
"PSYCHOLOGICAL TERMS","None","From the Greek for "womb", this disorder was once thought to be peculiar to women","hysteria"
"ORGANIZATIONS","None","Founded in 1887 to gain a "Monopoly" on fund-raising, it evolved into The United Way","Community Chest"
"ANNIVERSARIES & FAREWELLS","None","In 2009 it celebrated its 40th anniversary with a farewell tour of the British Isles, where it was built; today, it's in Dubai","the Queen Elizabeth II"
"INTERNATIONAL ORGANIZATIONS","None",""Neutrality" & "Voluntary Service" are 2 of the 7 Fundamental Principles of this humanitarian org. founded in Europe","the Red Cross"
"THE ANIMAL KINGDOM","None","Next to humans, it's the land mammal with the longest lifespan","Elephant"
"SHAKESPEARE","None","He appears in 3 of Shakespeare's plays & his death is reported in "King Henry V"","Sir John Falstaff"
"MEDICAL HISTORY","None","In the 1850s he held the posts of demonstrator of & lecturer on anatomy at St. George's Hospital","Henry Gray (\"Gray's Anatomy\")"
"AMERICAN LITERATURE","None","In 1900 he published his first collection of stories, "The Son of the Wolf"","Jack London"
"MUSEUMS","None","The detail seen here is from a painting in this museum","The Prado"
"SPORTS HISTORY","None","He was president of France the first time France won soccer's World Cup","Jacques Chirac"
"THE OLYMPICS","None","Before the first winter games in 1924, this sport was played in the summer games; Canada won gold in 1920","ice hockey"
"KID STUFF","None","In tic-tac-toe, maximum number of X's you can have on the board without winning","5"
"GREEK & ROMAN MYTHOLOGY","None","The English names of this god's 2 companions are Panic & Fear","Mars"
"THE ACADEMY AWARDS","None","The only person named Oscar to win an Oscar, he won twice","Oscar Hammerstein II"
"TOYS","None","In 1963 sculptor Phil Kraczkowski was paid $600 to design this Hasbro toy's original head","G.I. Joe"
"U.S. PRESIDENTS","None","The first two consecutive presidents who were from the same state","Thomas Jefferson & James Madison (both from Virginia)"
"GOLF","None","It's the only one of golf's 4 major pro events in which amateurs are not permitted to play","the PGA Championship"
"PRESIDENTS","None","The last president who did not serve in the armed forces","Franklin D. Roosevelt"
"STATE CAPITALS","None","This state capital is on the site of a cross erected by Capt. Christopher Newport May 24, 1607","Richmond, Virginia (in 1607)"
"AMERICANA","None","Beginning an American tradition, in 1801 Aaron Burr's daughter Theodosia & her new husband honeymooned here","Niagara Falls"
"ARCHITECTURE & SOCIETY","None","The tiered steeple of St. Bride's Church in London inspired the traditional form of this festive item","a wedding cake"
"FAMOUS NAMES","None","This future foreign prime minister attended Milwaukee Teachers Training College in 1916 & '17","Golda Meir"
"FICTIONAL CHARACTERS","None","Hired as a ship's cook, he led the mutiny aboard the Hispaniola","Long John Silver (in Treasure Island)"
"HALLS OF FAME","None","Inductees into the Hall of Fame for these include Bob Keeshan, Oleg Popov & Red Skelton","Clowns"
"ENTERTAINMENT","None","It began in the early 1980s as Club des Talons Hauts, a stilt-walking troupe","Cirque du Soleil"
"POLITICIANS","None","This politician adopted his last name from a southern California beach & surfing community","Governor Jesse Ventura"
"WOMEN","None","1 of the 3 women in the only statue that depicts women in the U.S. Capitol Rotunda","Susan B. Anthony, Lucretia Mott and/or Elizabeth Cady Stanton"
"LITERARY CHARACTERS","None","His "story was soon told, for the whole twenty years had been to him but as one night"","Rip Van Winkle"
"GEOGRAPHIC EXTREMES","None","The city of Tromso in this country is home to the world's northernmost university & brewery","Norway"
"WORLD NATIONS","None","Of the world nations whose English names contain "land", this nation has the most people, 60 million","Thailand"
"CLASSIC CINEMA","None","This 1957 film opens with the judge's instructions to the jury in a murder trial","12 Angry Men"
"OSCAR-WINNING ACTRESSES","None","2 of the 5 women to win both Best Actress & Best Supporting Actress Oscars","(2 of) Meryl Streep, Ingrid Bergman, Helen Hayes, Jessica Lange, & Maggie Smith"
"LITERARY TITLE OBJECTS","None","In an 1868 novel, this mysterious title object is believed to sparkle or dim depending on lunar phases","the Moonstone"
"BOOKS ABOUT BOOKS","None","The 2003 bestseller "The Meaning of Everything" is subtitled "The Story of" this reference classic","the Oxford English Dictionary"
"NEWSPAPERS","None","It was first published between 1861 and 1865; it was revived in 1918; stopped in 1919, and revived again in 1942","Stars and Stripes"
"EUROPEAN LANDMARKS","None","Completed in 1791, it was reopened in 1989 after being closed for 28 years","the Brandenburg Gate"
"WORLD LEADERS","None","In April 1952 he wrote in a poem, "Cherry blossoms are blooming full today, now is the nation's springtime"","Emperor Hirohito"
"HISTORIC OBJECTS","None","Standart, Azov & Clock are among the names of these items, given as royal Easter gifts starting in the mid-1880s","Fabergé eggs"
"-ISMS","None","This term for an economic system first appeared in English in Thackeray's "The Newcomes", about the rise of a family","capitalism"
"NYC TICKER-TAPE PARADE HONOREES","None","Of the 3 men honored August 13, 1969, the one who spent part of July 20th miles from the other 2","Michael Collins"
"NAME'S THE SAME","None","This cartoon character debuted in 1930, the same year the object he shares a name with was discovered","Pluto"
"GODS OF ANCIENT EGYPT","None","Appropriately, the center of cult worship for this ancient Egyptian god was in Cynopolis, "City of the Dog"","Anubis"
"FICTIONAL CHARACTERS","None","Mother of Bonnie Blue, she ran a sawmill after the Civil War","Scarlett O'Hara"
"NONFICTION","None","In 1947 editor William Styron said this book was a long, "tedious Pacific voyage best suited" for National Geographic","Kon-Tiki (by Thor Heyerdahl)"
"PRECIOUS METALS","None","The largest single accumulation of gold known, about $90 billion from several countries, is found in this U.S. state","New York"
"SPORTS TEAM NAMES","None","It's the only Major League Baseball team name whose first 4 letters match the first 4 letters of its city","the Philadelphia Phillies"
"COUNTRIES OF THE WORLD","None","With 930 million people, it's the world's second-most populous country & its most populous democracy","India"
"MUSICIANS","None","As a disc jockey in the 1940s, he was known as "The Blues Boy from Beale Street"","B.B. King"
"20th CENTURY WOMEN","None","The state building that houses Pennsylvania's Department of Environmental Protection is named in her honor","Rachel Carson"
"IN THE NEWS 2000","None","40 years after a famous incident, he was awarded a DFC, POW Medal & Natl. Defense Service Medal posthumously","Francis Gary Powers"
"FOOD & DRINK","None","A statue in the town of Epernay, France honors this blind French monk","Dom Perignon (credited with inventing champagne)"
"19th CENTURY ROYALTY","None",""Imperial Adventurer", "The Last Emperor" & "The Cactus Throne" are books about this man who died at 34","Emperor Maximilian"
"BRITISH LITERATURE","None","The original title of this 1895 novel was "The Chronic Argonauts"","The Time Machine"
"SCIENTISTS","None","In 1543 he wrote, "Finally we shall place the sun himself at the center of the universe"","Nicolaus Copernicus"
"SHAKESPEARE","None","These 2 "King Lear" characters, 1 male, 1 female, both represent truthfulness; one disappears when the other returns","Cordelia and the Fool"
"FAMOUS NICKNAMES","None","This famous 20th century nickname is the Argentinian equivalent of "Y'know?" or "Hey, you!"","Che (for Che Guevara, who was born in Argentina)"
"BIBLICAL AKA","None","This second king of Israel was "the sweet singer of Israel"","King David"
"AUTHORS","None","After several decades off it, works by this man seen <a href="http://www.j-archive.com/media/2004-10-26_FJ.jpg" target="_blank">here</a> returned to the New York Times Bestseller List in 2003","J.R.R. Tolkien"
"EUROPEAN FICTION","None","This 1915 story says, "His numerous legs, which were pitifully thin... waved helplessly before his eyes"","Metamorphosis (by Franz Kafka)"
"WORD ORIGINS","None","This word regarding infidelity came from a certain bird leaving its eggs in other nests to be raised","cuckold"
"THE BODY HUMAN","None","At about 63%, there are more atoms of this element than any other in your body","hydrogen"
"FAMOUS NAMES","None","A city bus is part of the exhibits at the Montgomery, Alabama library & museum named for this person","Rosa Parks"
"19th CENTURY BOOKS","None",""Political power... is merely the organized power of one class for oppressing another" is from this work","The Communist Manifesto"
"STOCK SYMBOLS","None","This name is the 4-letter stock symbol of Golden Bear Golf Inc., which went public in 1996","JACK (for Jack Nicklaus)"
"INVENTORS","None","In 1894, in his West Orange lab, Thomas Edison shot this sport, the first sporting event ever filmed","boxing"
"STATES OF MEXICO","None","It's Mexico's northernmost state, but part of its name means "low"","Baja California"
"U.S. COLLEGES","None","Its original home was built in 1829 as an arsenal to defend against slave insurrections","The Citadel (the Military College of South Carolina)"
"THE MUSICAL U.S.","None","In 1999 this state acquired the rights to use John Denver's "Take Me Home, Country Roads" to promote tourism","West Virginia"
"U.S. HISTORY","None","For evading taxes on profits earned, former CIA agent Thomas Clines was the only one sent to prison over this scandal","Iran-Contra"
"MARILYN MONROE MOVIES","None","Marilyn plots her husband's murder at a honeymoon site in this, her only film with a 1-word title","Niagara"
"FAMOUS SCIENTISTS","None","Alexander Pope wrote the epitaph "Nature and nature's laws lay hid in night, God said, let" him "be and all was light"","Isaac Newton"
"U.S. HISTORY","None","In 1965 President Johnson flew to this state to sign the Medicare bill with a former president as witness","Missouri"
"THE AFI's 50 GREATEST FILM HEROES","None","Of the 50 on the list, the only character that wasn't portrayed by a human","Lassie"
"SHORT STORIES","None","In an 1842 tale he wrote, "Down--still unceasingly--still inevitably down!... I shrunk convulsively at its every sweep"","Edgar Allan Poe"
"HISTORIC ROYALTY","None","These two men seen here, allies during World War I, were sometimes mistaken for each other","Czar Nicholas II & King George V"
"COLONISTS","None","Among the 6 children of this colonist were Mary, Freeborn, Mercy & Providence","Roger Williams"
"PLAYWRIGHTS","None","This Brit won Tonys for Best Play in 1968, 1976, 1984 & 2007; in the '90s he settled for the 1998 Best Screenplay Oscar","Tom Stoppard"
"LETTER PERFECT","None","The name of this show performed in a 1.5 mil.-gallon tank at the Bellagio in Vegas is a homophone of a French word","O"
"FILMS OF THE '50s","None","The 2 "High" films in which Grace Kelly starred","High Noon (1952) & High Society (1955)"
"BEATLES TUNES","None","It's the Beatles' only U.S. No. 1 hit single whose title is the name of an actual place","\"Penny Lane\""
"THE CHANGING U.S.A.","None","(<a href="http://www.j-archive.com/media/2011-09-28_FJ.wmv">Kelly of the Clue Crew shows a map on the monitor.</a>)  According to the Census, this point has progressed westward since the U.S. was founded & has moved southwest since the 1960s","the mean center of population"
"WORLD GEOGRAPHY","None","The promotional slogan of this territory is "Where America's Day Begins"","Guam"
"CLASSICAL COMPOSERS","None","Siegfried's funeral march was played when this man's coffin reached the train station in 1883","Richard Wagner"
"PLAYWRIGHTS","None","In 1948 he returned to Europe & soon co-founded the Berliner Ensemble to stage his works","Bertolt Brecht"
"MEMORIALS","None","When completed, the South Dakota memorial to this man will include a 44-foot tall feather on his 87-foot tall head","Crazy Horse (the Oglala chief)"
"FUN WITH NUMBERS","None","Number of degrees the minute hand on a standard clock travels in one hour","360"
"LANGUAGES","None","In South America, these are the 2 most widely spoken languages","Spanish & Portuguese"
"THE 5 W's","None","The names of the president & premier of the world's most populous nation are homophones of these 2 words","who & when"
"THE STOCK EXCHANGE","None","With over 20,000 stores worldwide, it began trading on the NYSE in July 2000 under the symbol SE","7-Eleven"
"POLITICIANS","None","He began his political career by defeating Jerry Voorhis in 1946 for a California house seat","Richard M. Nixon"
"PLAYWRIGHTS","None","Mrs. Patrick Campbell said of this vegetarian, "God help us if he should ever eat a beefsteak"","George Bernard Shaw"
"WESTERNS","None","Created by Clarence E. Mulford, in books he was a crusty guy with a bad leg; in film, a romantic lead","Hopalong Cassidy"
"16th CENTURY NAMES","None","Paul III roared at him, "I have waited 30 years for your services.  Now I'm pope, can't I satisfy my desire?"","Michelangelo"
"HEALTH & MEDICINE","None","According to the Mayo Clinic, allergies to these are the USA's most common cause of life-threatening allergic reactions","peanuts"
"AUTHORS OF THE 1920s","None","Lawrence Durrell said that in a 1928 novel this man used 4-letter words to canonize & celebrate raw sensuality","D.H. Lawrence (\"Lady Chatterley's Lover\")"
"FILM HISTORY","None","Written by Thomas Dixon, 1916's film "The Fall of a Nation" is considered the first of these ever made","a sequel"
"INTERNATIONAL PLAYWRIGHTS","None","(Jimmy of the Clue Crew reports from the Yale Repertory Theatre)  During apartheid, this man chose to premiere several of his plays, including "A Place with the Pigs", here at Yale","Athol Fugard"
"MAMMALS","None","The 2 mammals that live at the highest altitude on a permanent basis are the pika & this animal","Yak"
"NOVELISTS","None","In the April 2000 National Geographic, he wrote an article dispelling myths about the great white shark","Peter Benchley"
"FAMOUS AMERICANS","None","Among the 10 modern martyrs who will have statues in Westminster Abbey is this American, 1929-1968","Martin Luther King, Jr."
"PROFESSIONAL SPORTS","None","In the 5 major U.S. pro team sports, it's the only team bearing the name of an insect","the Charlotte Hornets"
"U.S. GOVERNMENT","None","Lawrence Walsh & Donald Smaltz have held this job created by 1978's Ethics in Government Act","Special Prosecutor/Independent Counsel"
"THE PULITZER PRIZES","None","Theodore H. White, the first general nonfiction winner, won for an account of this man's election to the U.S. presidency","John F. Kennedy  (\"The Making of the President, 1960\")"
"NATIONAL PARKS","None","The writings of Marjory Stoneman Douglas helped preserve this area she dubbed "The River of Grass"","Everglades National Park (in Florida)"
"LITERARY TITLE CHARACTERS","None","Fanny Squeers called him Knuckleboy","Nicholas Nickleby"
"SPORTS PHRASES","None","This phrase for the sport of Sugar Ray Robinson is attributed to 19th century writer Pierce Egan","The Sweet Science"
"AMERICAN LITERATURE","None","One of the original titles of this 1925 novel was "Among Ash Heaps and Millionaires"","The Great Gatsby"
"18th CENTURY CORRESPONDENCE","None","In 1776 she wrote, "Whilst you are... emancipating all nations, you insist upon retaining an absolute power over wives"","Abigail Adams"
"THE PLANETS","None","Containing less than 1% of the mass in the solar system, it's the second most massive object in it","Jupiter"
"CLASSIC MOVIES & TELEVISION","None","Bert & Ernie of "Sesame Street" are named after characters in this classic Christmas film","It's A Wonderful Life"
"MONEY","None","It was the 1st country to use paper money","China"
"BUSINESS & INDUSTRY","None","First sold in 1912, the Maine hunting shoe was his first retail product","Leon Leonwood (L.L.) Bean"
"AMERICAN BUSINESS","None","In 1945 Mr. & Mrs. Shoen founded it after no one locally would rent them a trailer for their move from L.A. to Portland","U-Haul"
"THE SUPREME COURT","None","These 2 justices who graduated at the top of their classes were both first offered jobs as typists by the top law firms","Ruth Bader Ginsburg & Sandra Day O'Connor"
"CHILDREN'S LITERATURE","None","Hans Christian Andersen's "The Nightingale" was inspired by this famous woman","Jenny Lind"
"GOVERNMENT","None","Decade the last amendment to the Constitution was ratified in","the 1970s"
"ASTRONOMER'S DICTIONARY","None","This word comes from a Greek phrase meaning "circle of animals"","zodiac"
"1910s HISTORY","None","World Book said it "ranks as one of the greatest engineering achievements in the world"","the Panama Canal"
"LOGOS & TRADEMARKS","None","This brand's famous logo orignally represented Vulcan about to strike his anvil","Arm & Hammer"
"SPAIN","None","This Catalonian city, once the capital of the Visigoths, may be named for a Carthaginian family","Barcelona"
"EVENTS OF 2010","None","A piece of custom-made equipment called the Phoenix played a key role in an October event in this country","Chile"
"PATRON SAINTS","None","He's the patron saint of the hometown of Shakespeare's shrew","St. Anthony of Padua"
"IN THE KITCHEN","None","Now in over 44 million U.S. kitchens, this type of product was illegal in NYC until 1997","Garbage disposal"
"POETS","None","These 2 great English romantic poets died while still in their 20s, one in 1821 & one in 1822","John Keats & Percy Shelley"
"SPORTS SUPERLATIVES","None","This oldest tennis player ever to win a Grand Slam title did so at the Australian Open mixed doubles in 2003","Martina Navratilova"
"ASTRONOMY","None","With a mass of 4.31 millions Suns, Sagittarius A* is thought to be a supermassive one of these in the Milky Way's center","black hole"
"AMERICAN LITERATURE","None","The only native Californian to win the Nobel Prize for Literature","John Steinbeck (in 1940 for The Grapes of Wrath)"
"HISTORIC BUSINESSMAN","None","Tired of his fragile wares being smashed in transit, this man born in 1730 advocated British turnpike building","Wedgewood"
"19th CENTURY AMERICANS","None","This New Englander began building his house in March 1845 & later wrote that it cost exactly $28.12 1/2","Henry David Thoreau"
"WOMEN OF THE 1930s","None","1 of the men who shot her realized when he saw her body that she'd often waited on him at a cafe in Dallas","Bonnie Parker"
"POETS","None","Made a baron in the early 1880s, he was the first Englishman elevated to that rank for literary work alone","Alfred Lord Tennyson"
"THE MIDDLE AGES","None","This name given to a survey refers to the time when men face the judgment from which there is no appeal","the Domesday Report"
"JFK","None","In an interview, Jackie confided that JFK regularly fell asleep listening to the soundtrack of this Broadway play","Camelot"
"WASHINGTON, D.C.","None","Originally housed in a boarding house & then in the Capitol, today it occupies 3 buildings named for presidents","the Library of Congress"
"SHAKESPEAREAN CHARACTERS","None","One of this heroine's last lines is "Poor venomous fool, be angry, and dispatch"","Cleopatra"
"WORLD LEADERS","None","Francois Mitterand said this world leader "has the lips of Marilyn Monroe and the eyes of Caligula"","Margaret Thatcher"
"1960s HIT SONGS","None","The singer/songwriter of this 1960s mega-hit has revealed that it was inspired by a president's daughter","\"Sweet Caroline\""
"THE CALENDAR","None","It's the second-shortest month in most of the U.S., beating out the third-shortest months by one hour","April"
"FAMOUS NAMES","None","DNA from Prince Philip helped prove that Anna Anderson-Manahan was not this woman, as she had claimed","Anastasia"
"BRANDS","None","Jack Odell gave his child a tiny vehicle to bring to school inside one of these items, & a toy brand name was born","a matchbox"
"NATIONAL NAMES","None","2 of 3 European Union member nations whose names are only one syllable in English","(2 of) France, Greece, & Spain"
"THE 16th CENTURY","None","In 1582 the man born Ugo Buoncompagni proclaimed this solar dating system still used today","the Gregorian calendar"
"THE 1996 ELECTION","None","Nicknamed for the sport their children play, they were part of the swing vote in 1996","\"Soccer Moms\""
"INTERNATIONAL RELATIONS","None","The Air Force's C-130 "Hurricane Hunters" are the only U.S. military aircraft allowed to enter this country's airspace","Cuba"
"MEDICAL PRODUCTS","None","On June 12, 2001 Johnson & Johnson relaunched this brand with a ceremony in a Missouri city","St. Joseph aspirin"
"THE NOBEL PRIZE","None","All the medals have Alfred Nobel on 1 side; these 2 categories share an identical design on the reverse","Chemistry & Physics"
"POLITICAL TERMS","None","The first known use of this word is a 1763 entry in John Adams' diary describing a club meeting in a friend's attic","caucus"
"ANNUAL EVENTS","None","Henri Desgrange, founder of this event, created its maillot jaune, 1st worn by Eugene Christophe, riding from Grenoble","the Tour de France"
"THE CLINTON ADMINISTRATION","None","In February 1998 David Satcher was sworn in to this post, left vacant since 1994","Surgeon General"
"WORD ORIGINS","None","Before its use in journalism, it meant a boundary beyond which straying prisoners would be shot","deadline"
"BILLBOARD NO. 1 HITMAKERS","None","In May 1964 this New Orleans native was 62 years old when he bumped the Beatles' "Can't Buy Me Love" from the No. 1 spot","Louis Armstrong"
"LITERARY INSPIRATIONS","None","In 2002, at age 104, Gregorio Fuentes, an inspiration for this tale, died in the Cuban fishing village of Cojimar","\"The Old Man and the Sea\""
"ARCHITECTURAL HISTORY","None","Emperor Constantine commissioned several of these buildings, named from the Greek for "royal house"","basilicas"
"AWARD NAMESAKES","None","His "A Little Pretty Pocket-Book" from 1744 was one of the 1st books published specifically for children","John Newbery"
"POTPOURRI...NO FOOLIN'","None","In 1956 Johnson Wax introduced Raid & this brand that got a Potpourri Country Garden version in 1989","Glade"
"MOVIE CHARACTERS","None","On the AFI's 2003 lists of favorite movie heroes & villains of all time, this character appears on both lists","the Terminator"
"DOUBLE MEANINGS","None","Used one way, this word is one of the official titles of the Pope; used another, it's an order of mammals","primate"
"COMPUTER SCIENCE","None","John Tukey coined this compound word in 1958 saying it was as important as "tubes, transistors, wires, tapes..."","software"
"CHILDREN'S LITERATURE","None","This title character was inspired by a girl who'd had her appendix out in a French hospital run by nuns","Madeline"
"LINES FROM LINCOLN","None","Though it's not accurate, this meaning of the word "Mississippi" appears in one of Lincoln's most famous lines","father of waters"
"WORLD AUTHORS","None","Chapters in an 1831 work by this author include "Maitre Jacques Coppenole" & "A Tear for a Drop of Water"","Victor Hugo"
"1896","None","This venture was financed by the sale of souvenir stamps & medals & a large donation from businessman Georgios Averoff","the Olympic Games (first of the modern era)"
"THE 50 STATES","None","Aside from the Dakotas & Carolinas, # of states with 2 words in their names as commonly used","6"
"1920s LITERATURE","None","This character "believed in the green light, the orgiastic future that year by year recedes before us"","Jay Gatsby"
"'60s MOVIES","None","The tagline to this movie with a 7-word title was "Everybody who's ever been funny is in it!"","It's a Mad, Mad, Mad, Mad World"
"ENTERTAINMENT HISTORY","None","Originally known as the Missouri Rockets, they performed at the opening of an East Coast theatre in 1931","the Rockettes"
"AMERICAN NOVELISTS","None",""What is moral is what you feel good after and what is immoral is what you feel bad after", he wrote in 1932","Ernest Hemingway"
"ESPIONAGE","None","He was born in India; his father worked for the British government & he was nicknamed for a Kipling character","Kim Philby"
"SPORTS BOOKS","None","In 1998 the author of this controversial 1970 book was finally invited to play in a Yankees old-timers' game","\"Ball Four\" (by Jim Bouton)"
"BRAND NAMES","None","A 1909 suit said this product must contain enough of the actual bean & leaf in order to claim its distinctive name","Coca-Cola"
"STATE CAPITALS","None","One of the two state capitals whose names end with the Greek word for "city"","(1 of) Annapolis or Indianapolis"
"FAMOUS ARTISTS","None","In 1909 he exhibited a group of his paintings entitled "Nympheas:  Series De Paysages D'Eau"","Claude Monet"
"U.S. POLITICS","None","In a popular 1928 gubernatorial campaign slogan, it preceded "But No Man Wears A Crown"","\"Every Man A King\""
"THE INTERNET","None","It is named in honor of a Monty Python sketch that used the word more than 100 times in 2 1/2 minutes","spam"
"WORLD GEOGRAPHY","None","The world's highest city of over 1 million people sits at about 12,000 feet in these mountains","the Andes"
"HOLLYWOOD SCANDALS","None","Some claim the 1932 "suicide" of this star's husband Paul Bern was murder; she died 5 years later, at age 26","Jean Harlow"
"THE SUPER BOWL","None","As of 2010 it's the only current NFC team that has never played in the Super Bowl","the Detroit Lions"
"FRENCHMEN IN HISTORY","None","He was nicknamed "The Robespierre of the Brush", but unlike his friend Robespierre, he was jailed but not guillotined","Jacques-Louis David"
"AMERICAN NOVELS","None","Chapter III of this 1826 novel is prefaced by a quote from the poem "An Indian at the Burial-Place of His Fathers"","\"The Last of the Mohicans\""
"DETECTIVE STORIES","None","The Murders in the Rue Morgue and The Mystery of Marie Roget are mentioned in the 1st paragraph of this 1845 story","\"The Purloined Letter\""
"RELIGIOUS WORDS","None","Surprisingly, this word appears only twice in the New Testament, once in Acts & once in the First Epistle of Peter","Christian"
"GREAT ARTISTS","None","His first important commission in Amsterdam was to paint that city's guild of surgeons","Rembrandt"
"HISTORIC NAMES","None","Born at Chateau Chavaniac in 1757, he was later hailed as "the hero of two worlds"","the Marquis de Lafayette"
"MILITARY MEN","None","Books about this American are subtitled "Warrior as Wordsmith" & "The Far Eastern General"","Douglas MacArthur"
"COLLEGES & UNIVERSITIES","None","The only state that's home to 2 Ivy League schools","New York (Columbia, in NYC & Cornell, in Ithaca)"
"LITERARY CHARACTERS","None","Last name of Sir Clifford, whose crippling war injuries make life difficult for his wife","Chatterley"
"ANCIENT ROMANS","None","According to tradition, he was descended from the clan of the Pontii & killed himself in 39 A.D.","Pontius Pilate"
"SCIENTIFIC INSTRUMENTS","None","French physicist Leon Foucault gave it its name, which is from the Greek for "to view the rotation"","gyroscope"
"18th CENTURY SCIENTISTS","None","This N. European said his grave-stone should be inscribed Princeps botanicorum, "prince of botanists"","Carolus Linnaeus"
"AMERICAN DRAMA","None","The entire action of this Eugene O'Neill play takes place in 1850 at a New England farmhouse flanked by massive trees","\"Desire Under The Elms\""
"THE 1970s","None","For an historic February 1972 trip, Richard Nixon & Henry Kissinger each learned to use these; Nixon was better at it","chopsticks"
"PUBLISHING","None","Founded in 1856, this company introduced a numbering system for U.S. highways in 1917","Rand McNally"
"AMERICAN ENTERTAINERS","None",""Evita"'s "Don't Cry for Me Argentina" was inspired by a 1969 concert of hers in London; she left the stage after 15 minutes","Judy Garland"
"SINGERS","None","This man who often criticized the government was named for the president elected in 1912, his birth year","Woodrow Wilson \"Woody\" Guthrie"
"INTERNATIONAL SPORTS","None","Jan Ullrich, the only German ever to win this event, has been nicknamed "Der Tourminator"","the Tour de France"
"THE U.S. MILITARY","None","Established in 1903, the oldest U.S. military base in continuous use outside of the U.S. is in this country","Cuba"
"THEATRE 2005","None","The conduct of a priest arouses suspicion in this play that won the 2005 Pulitzer Prize for Drama","Doubt (by John Patrick Shanley)"
"EUROPEAN PRINCESSES","None","On July 20, 1999 she gave birth to her fourth child, Princess Alexandra of Hanover","Princess Caroline of Monaco"
"PUBLICATIONS","None","This humor publication, known for its website, put out its first book in 1999, a No. 1 bestseller","The Onion"
"ENTREPRENEURS","None","When he passed away in December 1980, flags in Kentucky flew at half-staff for 4 days","Colonel Sanders"
"LEGAL EAGLES","None","In 1931 he narrated "The Mystery of Life", a full-length film about evolution","Clarence Darrow"
"WORLD WAR II","None","On June 5, 1944 FDR said of the capture of this city, "One up and two to go"","Rome"
"THE CIVIL WAR","None","For his service in the Civil War Congress made him General in Chief of the Armies","Ulysses S. Grant"
"19th CENTURY PRESIDENTS","None","His letter accepting his nomination concluded, "Let us have peace", which became the GOP campaign slogan","Ulysses Grant"
"ACTRESSES & THEIR ROLES","None","In 1992 Angela Bassett played the Jacksons' mother on TV & Betty Shabazz in this film","Malcolm X"
"FAMOUS FILMS","None","He made the first home movie to be named to the Library of Congress' National Film Registry","Abraham Zapruder (the film of the Kennedy Assassination)"
"WOMEN AUTHORS","None","In 1935 she sent a telegram to a Macmillan editor: "Please send manuscript back I've changed my mind"","Margaret Mitchell (\"Gone with the Wind\")"
